1	title: “Đập hộp” Galaxy S20 Ultra: choáng ngợp với những tính năng khủng	title : “ Đập hộp ” Galaxy S20 Ultra : choáng ngợp với những tính năng khủng
2	Galaxy S20 Ultra đã chính thức được Samsung giới thiệu với nhiều tính năng lần đầu xuất hiện trên dòng Galaxy S. Hãy cùng Hoàng Hà Mobile mở hộp Galaxy S20 Ultra mới để khám phá những tính năng đỉnh cao của Samsung nha.	Galaxy S20 Ultra đã chính thức được Samsung giới thiệu với nhiều tính năng lần đầu xuất hiện trên dòng Galaxy S . Hãy cùng Hoàng Hà Mobile mở hộp Galaxy S20 Ultra mới để khám phá những tính năng đỉnh cao của Samsung nha .
3	Mở hộp Galaxy S20 Ultra	Mở hộp Galaxy S20 Ultra
4	Hộp của máy có thiết kế đơn giản, sang trọng với tông màu đen chủ đạo.	Hộp của máy có thiết kế đơn giản , sang trọng với tông màu đen chủ đạo .
5	Nổi bật trên nắp hộp là dòng chữ S20 Ultra màu trắng và logo S20 màu xám ngay chính giữa.	Nổi bật trên nắp hộp là dòng chữ S20 Ultra màu trắng và logo S20 màu xám ngay chính giữa .
6	Hộp đựng Galaxy S20 Ultra cũng có kích thước lớn nhất trong Galaxy S20 Series vừa ra mắt.	Hộp đựng Galaxy S20 Ultra cũng có kích thước lớn nhất trong Galaxy S20 Series vừa ra mắt .
7	alt: anh 1	alt : anh 1
8	des:	des :
9	Bên trong hộp chúng ta sẽ có củ sạc 25W, cáp sạc C-to-C, tai nghe AKG kết nối qua cổng type-C và que chọc sim.	Bên trong hộp chúng ta sẽ có củ sạc 25W , cáp sạc C-to-C , tai nghe AKG kết nối qua cổng type-C và que chọc sim .
10	Samsung cũng hào phóng tặng cho người dùng một chiếc ốp lưng trong suốt để bảo vệ máy.	Samsung cũng hào phóng tặng cho người dùng một chiếc ốp lưng trong suốt để bảo vệ máy .
11	Galaxy S20 Ultra được khoác lên mình bộ viền rất chắc chắn bằng thép không gỉ.	Galaxy S20 Ultra được khoác lên mình bộ viền rất chắc chắn bằng thép không gỉ .
12	Đây cũng là lần đầu tiên Samsung đưa bộ viền này lên sản phẩm của mình.	Đây cũng là lần đầu tiên Samsung đưa bộ viền này lên sản phẩm của mình .
13	Nhờ đó, khả năng chống chịu va đập của máy được nâng cao hơn.	Nhờ đó , khả năng chống chịu va đập của máy được nâng cao hơn .
14	Đồng thời viền thép cũng giúp máy đầm tay hơn khi sử dụng.	Đồng thời viền thép cũng giúp máy đầm tay hơn khi sử dụng .
15	alt: anh 3	alt : anh 3
16	des:	des :
17	Bên cạnh trái máy sẽ hoàn toàn trống trơn, bên cạnh phải sẽ là nơi đặt toàn bộ phím bấm của máy gồm nút nguồn và âm lượng, cạnh trên là nơi để khay sim và cạnh dưới là cổng sạc USB type-C cùng micro và loa.	Bên cạnh trái máy sẽ hoàn toàn trống trơn , bên cạnh phải sẽ là nơi đặt toàn bộ phím bấm của máy gồm nút nguồn và âm lượng , cạnh trên là nơi để khay sim và cạnh dưới là cổng sạc USB type-C cùng micro và loa .
18	Một vẻ ngoài sáng bóng toát lên nhờ vào viền thép càng làm chiếc trở nên nổi bật khi đưa dưới ánh sáng.	Một vẻ ngoài sáng bóng toát lên nhờ vào viền thép càng làm chiếc trở nên nổi bật khi đưa dưới ánh sáng .
19	alt: anh 4	alt : anh 4
20	des:	des :
21	Mặt lưng của Galaxy S20 Ultra được bao phủ bởi kính cường lực cùng một cụm camera khá lớn tạo điểm nhấn.	Mặt lưng của Galaxy S20 Ultra được bao phủ bởi kính cường lực cùng một cụm camera khá lớn tạo điểm nhấn .
22	Bản mình cầm có mặt lưng màu xám nhìn khá nam tính.	Bản mình cầm có mặt lưng màu xám nhìn khá nam tính .
23	Thêm một chút nữa là cụm camera hơi to thì mình nghĩ rằng S20 Ultra sẽ phù hợp với những bạn nam hơn.	Thêm một chút nữa là cụm camera hơi to thì mình nghĩ rằng S20 Ultra sẽ phù hợp với những bạn nam hơn .
24	Nhưng nếu bạn nữ là người cá tính và mạnh mẽ thì sở hữu chiếc máy này cũng là một sự lựa không hề tồi đâu nhé.	Nhưng nếu bạn nữ là người cá tính và mạnh mẽ thì sở hữu chiếc máy này cũng là một sự lựa không hề tồi đâu nhé .
25	alt: anh 5	alt : anh 5
26	des:	des :
27	Galaxy S20 Ultra được trang bị màn hình 6,9 inch Infinity-O với công nghệ Dynamic AMOLED, độ phân giải tối đa 2K+.	Galaxy S20 Ultra được trang bị màn hình 6,9 inch Infinity-O với công nghệ Dynamic AMOLED , độ phân giải tối đa 2K + .
28	Samsung vẫn luôn mạnh về công nghệ màn hình trong nhiều năm nay, và giờ họ vẫn làm rất tốt điểm này trên S20 Ultra.	Samsung vẫn luôn mạnh về công nghệ màn hình trong nhiều năm nay , và giờ họ vẫn làm rất tốt điểm này trên S20 Ultra .
29	Do đó, không quá ngạc nhiên khi nhiều trang đánh giá uy tín của nước ngoài đều chọn đây là chiếc máy có màn hình đẹp nhất hiện nay.	Do đó , không quá ngạc nhiên khi nhiều trang đánh giá uy tín của nước ngoài đều chọn đây là chiếc máy có màn hình đẹp nhất hiện nay .
30	alt: anh 6	alt : anh 6
31	des:	des :
32	Độ bo cong hai cạnh bên trên S20 Ultra đã được giảm bớt khi so với S10.	Độ bo cong hai cạnh bên trên S20 Ultra đã được giảm bớt khi so với S10 .
33	Chính vì vậy thao tác trên máy đỡ bị cảm ứng nhầm hơn rất nhiều.	Chính vì vậy thao tác trên máy đỡ bị cảm ứng nhầm hơn rất nhiều .
34	Các viền trên viền dưới cũng được làm khá mỏng.	Các viền trên viền dưới cũng được làm khá mỏng .
35	Chính những điều này đã giúp máy có màn hình lớn nhưng vẫn rất gọn gàng trong bàn tay của người sử dụng.	Chính những điều này đã giúp máy có màn hình lớn nhưng vẫn rất gọn gàng trong bàn tay của người sử dụng .
36	alt: anh 7	alt : anh 7
37	des:	des :
38	Công nghệ màn hình 120Hz có thể nói là điểm nhấn lớn nhất trên màn hình.	Công nghệ màn hình 120Hz có thể nói là điểm nhấn lớn nhất trên màn hình .
39	Các trải nghiệm thao tác với chế độ này vô cùng mượt mà.	Các trải nghiệm thao tác với chế độ này vô cùng mượt mà .
40	Nếu bạn đang quen với màn hình 60Hz thì chắc chắn 120Hz trên S20 Ultra sẽ không làm bạn thất vọng.	Nếu bạn đang quen với màn hình 60Hz thì chắc chắn 120Hz trên S20 Ultra sẽ không làm bạn thất vọng .
41	Nhưng khi bật chế độ này độ phân giải màn hình của máy sẽ giảm xuống chỉ còn Full HD+.	Nhưng khi bật chế độ này độ phân giải màn hình của máy sẽ giảm xuống chỉ còn Full HD + .
42	Tuy nhiên, dù sử dụng ở độ phân giải Full HD+ thì trải nghiệm hình ảnh vẫn rất mịn và ít gặp tình trạng bị rỗ màn hình.	Tuy nhiên , dù sử dụng ở độ phân giải Full HD + thì trải nghiệm hình ảnh vẫn rất mịn và ít gặp tình trạng bị rỗ màn hình .
43	alt: anh 8	alt : anh 8
44	des:	des :
45	Cấu hình được trang bị trên S20 Ultra là con chip Exynos 990 mạnh mẽ nhất của Samsung, Ram 12GB thoải mái cho việc đa nhiệm cùng bộ nhớ trong 128GB.	Cấu hình được trang bị trên S20 Ultra là con chip Exynos 990 mạnh mẽ nhất của Samsung , Ram 12GB thoải mái cho việc đa nhiệm cùng bộ nhớ trong 128GB .
46	Nếu dung lượng này chưa đủ, bạn có thể mở rộng thông qua thẻ nhớ (tối đa 1TB).	Nếu dung lượng này chưa đủ , bạn có thể mở rộng thông qua thẻ nhớ ( tối đa 1TB ) .
47	Trải nghiệm nhanh việc chơi game, máy hoàn toàn đáp ứng tốt tựa game Liên Quân Mobile, PUBG Mobile và Asphalt Extreme.	Trải nghiệm nhanh việc chơi game , máy hoàn toàn đáp ứng tốt tựa game Liên Quân Mobile , PUBG Mobile và Asphalt Extreme .
48	alt: anh 9	alt : anh 9
49	des:	des :
50	Cụm camera có kích thước lớn chính vì chứa đựng nhiều công nghệ bên trong.	Cụm camera có kích thước lớn chính vì chứa đựng nhiều công nghệ bên trong .
51	Điểm qua chút về thông số chúng ta sẽ có camera góc rộng 108MP, khẩu độ f/1.8, camera góc siêu rộng 12MP, camera cảm biến đo chiều sâu và đặc biệt là camera tele 48MP.	Điểm qua chút về thông số chúng ta sẽ có camera góc rộng 108MP , khẩu độ f / 1.8 , camera góc siêu rộng 12MP , camera cảm biến đo chiều sâu và đặc biệt là camera tele 48MP .
52	Camera 108MP còn có thể gộp 9 điểm ảnh làm 1.	Camera 108MP còn có thể gộp 9 điểm ảnh làm 1 .
53	Điều này giúp tăng chi tiết cũng như nâng chất lượng những bức ảnh chụp thiếu sáng.	Điều này giúp tăng chi tiết cũng như nâng chất lượng những bức ảnh chụp thiếu sáng .
54	Rất nhiều tính năng thú vị khác đã được Samsung thêm vào để làm hài lòng người dùng.	Rất nhiều tính năng thú vị khác đã được Samsung thêm vào để làm hài lòng người dùng .
55	alt: anh 10	alt : anh 10
56	des:	des :
57	Khả năng zoom điện tử lên tới 100x cũng là điều làm giới yêu công nghệ vô cùng háo hức.	Khả năng zoom điện tử lên tới 100x cũng là điều làm giới yêu công nghệ vô cùng háo hức .
58	Bạn có thể sáng tạo được rất nhiều điều thú vị cùng camera này như là chụp những vật thể ở xa không thể lại gần hoặc chỉ đơn giản là thay thế cho một chiếc ống nhòm to và cồng kềnh.	Bạn có thể sáng tạo được rất nhiều điều thú vị cùng camera này như là chụp những vật thể ở xa không thể lại gần hoặc chỉ đơn giản là thay thế cho một chiếc ống nhòm to và cồng kềnh .
59	alt: anh 11	alt : anh 11
60	des:	des :
61	Đối với quay video trên S20 Ultra sẽ có tính năng quay phim Siêu ổn định rất được các vlogger ưa thích vì khả năng chống rung bá đạo mà lại không cần gimbal này.	Đối với quay video trên S20 Ultra sẽ có tính năng quay phim Siêu ổn định rất được các vlogger ưa thích vì khả năng chống rung bá đạo mà lại không cần gimbal này .
